id,author,pkg,version,elm_version,license,direct_dep_count,total_dep_count
0,NoRedInk,NoRedInk/noredink-ui,12.10.0,0.19.0,BSD-3-Clause,17,23
1,jxxcarlson,jxxcarlson/elm-widget,3.3.0,0.19.0,MIT,7,12
2,FMFI-UK-1-AIN-412,FMFI-UK-1-AIN-412/elm-formula,4.0.0,0.19.0,MIT,2,3
3,newmana,newmana/chroma-elm,18.0.3,0.19.0,Apache-2.0,4,7
4,ianmackenzie,ianmackenzie/elm-geometry,3.9.0,0.19.0,MPL-2.0,8,10
5,agustinrhcp,agustinrhcp/elm-datepicker,1.0.1,0.19.0,BSD-3-Clause,6,10
6,shamansir,shamansir/tron-gui,3.0.0,0.19.0,BSD-3-Clause,9,13
7,brainrape,brainrape/elm-mathml,1.0.1,0.19.1,MIT,2,4
8,brainrape,brainrape/elm-mathml,1.0.0,0.19.1,MIT,2,4
9,davidpomerenke,davidpomerenke/elm-problem-solving,1.0.1,0.19.1,MIT,13,32
10,shamansir,shamansir/tron-gui,2.0.0,0.19.0,BSD-3-Clause,9,13
11,calions-app,calions-app/jsonapi-http,1.3.1,0.19.0,MIT,7,16
12,tricycle,tricycle/elm-email,1.0.4,0.19.0,BSD-3-Clause,2,3
13,tricycle,tricycle/elm-email,1.0.3,0.19.0,BSD-3-Clause,2,3
14,TSFoster,TSFoster/elm-uuid,4.1.0,0.19.0,BSD-3-Clause,7,12
15,nathanjohnson320,nathanjohnson320/base58,2.0.2,0.19.0,MIT,2,7
16,Heimdell,Heimdell/elm-optics,3.0.1,0.19.1,BSD-3-Clause,4,9
17,Heimdell,Heimdell/elm-optics,3.0.0,0.19.1,BSD-3-Clause,4,9
18,davidpomerenke,davidpomerenke/elm-problem-solving,1.0.0,0.19.1,MIT,13,32
19,icidasset,icidasset/elm-material-icons,5.0.0,0.19.0,BSD-3-Clause,3,7
20,rakutentech,rakutentech/r10,1.1.1,0.19.0,BSD-3-Clause,16,26
21,wsowens,wsowens/term,2.0.6,0.19.0,Apache-2.0,8,9
22,rakutentech,rakutentech/r10,1.1.0,0.19.0,BSD-3-Clause,16,26
23,wsowens,wsowens/term,2.0.5,0.19.0,Apache-2.0,8,9
24,Heimdell,Heimdell/elm-optics,2.1.0,0.19.1,BSD-3-Clause,4,9
25,Heimdell,Heimdell/elm-optics,2.0.1,0.19.1,BSD-3-Clause,4,9
26,Heimdell,Heimdell/elm-optics,2.0.0,0.19.1,BSD-3-Clause,4,9
27,rakutentech,rakutentech/r10,1.0.1,0.19.0,BSD-3-Clause,16,26
28,rakutentech,rakutentech/r10,1.0.0,0.19.0,BSD-3-Clause,16,26
29,Heimdell,Heimdell/elm-optics,1.0.0,0.19.1,BSD-3-Clause,4,9
30,ianmackenzie,ianmackenzie/elm-iso-10303,4.0.0,0.19.0,MPL-2.0,5,6
31,hanifhefaz,hanifhefaz/elm-word2dict-matcher,3.0.1,0.19.0,MIT,2,5
32,ianmackenzie,ianmackenzie/elm-geometry,3.8.0,0.19.0,MPL-2.0,8,10
33,supermacro,supermacro/elm-antd,6.1.0,0.19.0,MIT,9,13
34,supermacro,supermacro/elm-antd,6.0.0,0.19.0,MIT,9,13
35,finos,finos/morphir-elm,3.0.1,0.19.0,Apache-2.0,10,22
36,miniBill,miniBill/elm-bare,1.0.1,0.19.0,MIT,2,3
37,miniBill,miniBill/elm-bare,1.0.0,0.19.0,MIT,3,4
38,danfishgold,danfishgold/base64-bytes,1.1.0,0.19.0,BSD-3-Clause,2,3
39,ianmackenzie,ianmackenzie/elm-iso-10303,3.0.0,0.19.0,MPL-2.0,5,6
40,w0rm,w0rm/elm-physics,5.1.1,0.19.0,BSD-3-Clause,4,11
41,mweiss,mweiss/elm-rte-toolkit,1.0.3,0.19.1,BSD-3-Clause,16,17
42,choonkeat,choonkeat/elm-aws,1.0.1,0.19.1,MIT,9,14
43,hanifhefaz,hanifhefaz/elm-word2dict-matcher,3.0.0,0.19.0,MIT,2,5
44,hanifhefaz,hanifhefaz/elm-word2dict-matcher,2.0.0,0.19.0,MIT,2,5
45,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.1.1,0.19.0,MIT,2,5
46,bitsoflogic,bitsoflogic/elm-radixint,2.0.0,0.19.1,BSD-3-Clause,1,2
47,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.1.0,0.19.0,MIT,2,5
48,hanifhefaz,hanifhefaz/elm-word2dict-matcher,1.0.0,0.19.0,MIT,2,5
49,choonkeat,choonkeat/elm-aws,1.0.0,0.19.1,MIT,9,14
